%
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. This site/dataset was established on 07/01/2021. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_S Wind speed (m/s) @ 0 m (height)
% MSNB_S Rain (day) (m) @ 0 m (height)
%
Time (utc),MSNB_S Wind speed (m/s),MSNB_S Wind speed (m/s) quality,MSNB_S Rain (day) (m),MSNB_S Rain (day) (m) quality
2024-04-07 16:00,3.72,good,0.00,not evaluated
2024-04-07 16:06,3.92,good,0.00,not evaluated
2024-04-07 16:12,3.65,good,0.00,not evaluated
2024-04-07 16:18,4.01,good,0.00,not evaluated
2024-04-07 16:24,4.28,good,0.00,not evaluated
2024-04-07 16:30,4.07,good,0.00,not evaluated
2024-04-07 16:36,4.00,good,0.00,not evaluated
2024-04-07 16:42,3.80,good,0.00,not evaluated
2024-04-07 16:48,3.50,good,0.00,not evaluated
2024-04-07 16:54,3.85,good,0.00,not evaluated
2024-04-07 17:00,4.23,good,0.00,not evaluated
2024-04-07 17:06,4.31,good,0.00,not evaluated
2024-04-07 17:12,4.02,good,0.00,not evaluated
2024-04-07 17:18,4.19,good,0.00,not evaluated
2024-04-07 17:24,3.97,good,0.00,not evaluated
2024-04-07 17:30,3.90,good,0.00,not evaluated
2024-04-07 17:36,3.73,good,0.00,not evaluated
2024-04-07 17:42,3.96,good,0.00,not evaluated
2024-04-07 17:48,3.85,good,0.00,not evaluated
2024-04-07 17:54,4.16,good,0.00,not evaluated
2024-04-07 18:00,3.93,good,0.00,not evaluated
2024-04-07 18:06,3.57,good,0.00,not evaluated
2024-04-07 18:12,3.76,good,0.00,not evaluated
2024-04-07 18:18,3.97,good,0.00,not evaluated
2024-04-07 18:24,3.67,good,0.00,not evaluated
2024-04-07 18:30,3.72,good,0.00,not evaluated
2024-04-07 18:36,4.11,good,0.00,not evaluated
2024-04-07 18:42,4.70,good,0.00,not evaluated
2024-04-07 18:48,4.47,good,0.00,not evaluated
2024-04-07 18:54,4.41,good,0.00,not evaluated
2024-04-07 19:00,4.74,good,0.00,not evaluated
2024-04-07 19:06,4.56,good,0.00,not evaluated
2024-04-07 19:12,4.82,good,0.00,not evaluated
2024-04-07 19:18,4.78,good,0.00,not evaluated
2024-04-07 19:24,4.62,good,0.00,not evaluated
2024-04-07 19:30,4.96,good,0.00,not evaluated
2024-04-07 19:36,5.23,good,0.00,not evaluated
2024-04-07 19:42,4.78,good,0.00,not evaluated
2024-04-07 19:48,4.91,good,0.00,not evaluated
2024-04-07 19:54,4.68,good,0.00,not evaluated
2024-04-07 20:00,4.43,good,0.00,not evaluated
2024-04-07 20:06,4.42,good,0.00,not evaluated
2024-04-07 20:12,4.37,good,0.00,not evaluated
2024-04-07 20:18,4.51,good,0.00,not evaluated
2024-04-07 20:24,4.64,good,0.00,not evaluated
2024-04-07 20:30,4.71,good,0.00,not evaluated
2024-04-07 20:36,4.43,good,0.00,not evaluated
2024-04-07 20:42,4.27,good,0.00,not evaluated
2024-04-07 20:48,4.62,good,0.00,not evaluated
2024-04-07 20:54,4.77,good,0.00,not evaluated
2024-04-07 21:00,4.48,good,0.00,not evaluated
2024-04-07 21:06,4.96,good,0.00,not evaluated
2024-04-07 21:12,5.11,good,0.00,not evaluated
2024-04-07 21:18,5.04,good,0.00,not evaluated
2024-04-07 21:24,4.78,good,0.00,not evaluated
2024-04-07 21:30,4.93,good,0.00,not evaluated
2024-04-07 21:36,5.00,good,0.00,not evaluated
2024-04-07 21:42,4.50,good,0.00,not evaluated
2024-04-07 21:48,4.71,good,0.00,not evaluated
2024-04-07 21:54,4.76,good,0.00,not evaluated
2024-04-07 22:00,4.68,good,0.00,not evaluated
2024-04-07 22:06,4.51,good,0.00,not evaluated
2024-04-07 22:12,4.44,good,0.00,not evaluated
2024-04-07 22:18,4.54,good,0.00,not evaluated
2024-04-07 22:24,4.25,good,0.00,not evaluated
2024-04-07 22:30,4.52,good,0.00,not evaluated
2024-04-07 22:36,4.36,good,0.00,not evaluated
2024-04-07 22:42,4.41,good,0.00,not evaluated
2024-04-07 22:48,3.93,good,0.00,not evaluated
2024-04-07 22:54,3.86,good,0.00,not evaluated
2024-04-07 23:00,4.28,good,0.00,not evaluated
2024-04-07 23:06,3.88,good,0.00,not evaluated
2024-04-07 23:12,3.95,good,0.00,not evaluated
2024-04-07 23:18,3.60,good,0.00,not evaluated
2024-04-07 23:24,3.50,good,0.00,not evaluated
2024-04-07 23:30,3.11,good,0.00,not evaluated
2024-04-07 23:36,2.83,good,0.00,not evaluated
2024-04-07 23:42,2.65,good,0.00,not evaluated
2024-04-07 23:48,2.78,good,0.00,not evaluated
